ts in ms,player id,group id,x in m,y in m
0,8,1,13.015,4.191
0,3,1,10.324,6.523
0,9,1,2.027,-0.268
0,4,1,12.780,-0.006
0,10,1,11.205,-6.904
0,15,2,8.983,-3.255
0,20,2,3.484,-5.197
0,22,2,12.530,0.466
0,18,2,12.009,0.210
0,21,2,9.830,4.343
40,8,1,13.003,4.173
40,3,1,10.229,6.468
40,9,1,1.951,-0.299
40,4,1,12.735,-0.104
40,10,1,11.192,-6.886
40,15,2,8.980,-3.295
40,20,2,3.353,-5.240
40,22,2,12.546,0.445
40,18,2,11.957,0.174
40,21,2,9.705,4.307
80,8,1,13.018,4.194
80,3,1,10.141,6.462
80,9,1,1.926,-0.320
80,4,1,12.674,-0.183
80,10,1,11.226,-6.892
80,15,2,8.967,-3.316
80,20,2,3.225,-5.291
80,22,2,12.518,0.408
80,18,2,11.942,0.094
80,21,2,9.644,4.298
120,8,1,13.006,4.176
120,3,1,10.025,6.410
120,9,1,1.862,-0.347
120,4,1,12.601,-0.265
120,10,1,11.208,-6.879
120,15,2,8.967,-3.304
120,20,2,3.088,-5.319
120,22,2,12.543,0.357
120,18,2,11.890,0.049
120,21,2,9.540,4.264
160,8,1,13.006,4.176
160,3,1,9.940,6.367
160,9,1,1.774,-0.390
160,4,1,12.555,-0.311
160,10,1,11.208,-6.879
160,15,2,8.967,-3.304
160,20,2,2.957,-5.319
160,22,2,12.543,0.311
160,18,2,11.848,0.006
160,21,2,9.452,4.307
200,8,1,12.988,4.158
200,3,1,9.799,6.322
200,9,1,1.683,-0.411
200,4,1,12.500,-0.415
200,10,1,11.186,-6.870
200,15,2,8.973,-3.289
200,20,2,2.847,-5.380
200,22,2,12.518,0.274
200,18,2,11.802,-0.034
200,21,2,9.330,4.316
240,8,1,13.003,4.170
240,3,1,9.693,6.346
240,9,1,1.600,-0.396
240,4,1,12.466,-0.497
240,10,1,11.214,-6.864
240,15,2,8.958,-3.301
240,20,2,2.746,-5.419
240,22,2,12.479,0.216
240,18,2,11.802,-0.098
240,21,2,9.257,4.313
280,8,1,12.988,4.148
280,3,1,9.580,6.309
280,9,1,1.524,-0.418
280,4,1,12.424,-0.573
280,10,1,11.186,-6.858
280,15,2,8.967,-3.280
280,20,2,2.621,-5.468
280,22,2,12.454,0.195
